0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,MONEDA,categoria,FECHA
BBVA,Bancom,Crédito,Pichincha,BIF,Scotiabank,Citibank,Interbank,Mibanco,GNB,Falabella,Santander,Ripley,Alfin,ICBC,Bank of China,BCI,Compartamos,Santander Cons. Bank,Promedio,USD,CATEGORIA,30/09/2025
5.10,-,5.34,6.61,5.18,6.19,s.i.,5.08,-,4.79,-,6.67,-,-,6.44,4.20,5.45,-,-,5.43,USD,Corporativos,30/09/2025
4.91,-,5.62,5.74,4.31,5.29,s.i.,4.88,-,8.00,-,8.03,-,-,-,-,-,-,-,5.19,USD,Descuentos,30/09/2025
4.21,-,5.65,5.24,5.54,4.70,s.i.,4.28,-,4.45,-,6.85,-,-,7.53,-,4.71,-,-,5.55,USD,Préstamos hasta 30 días,30/09/2025
4.99,-,4.58,-,6.46,4.75,s.i.,5.66,-,4.98,-,6.29,-,-,7.27,-,4.97,-,-,5.05,USD,Préstamos de 31 a 90 días,30/09/2025
4.96,-,5.04,7.88,7.30,6.40,s.i.,4.19,-,4.56,-,6.70,-,-,5.40,4.20,4.76,-,-,5.06,USD,Préstamos de 91 a 180 días,30/09/2025
5.20,-,4.43,-,4.75,5.37,s.i.,6.48,-,5.10,-,8.91,-,-,5.49,-,-,-,-,5.18,USD,Préstamos de 181 a 360 días,30/09/2025
5.37,-,8.84,-,-,7.06,s.i.,5.95,-,-,-,-,-,-,-,-,7.38,-,-,6.80,USD,Préstamos a más de 360 días,30/09/2025
6.76,6.74,6.55,18.42,8.02,5.87,s.i.,6.65,-,8.62,-,6.68,-,-,5.43,-,6.00,-,-,6.86,USD,Grandes Empresas,30/09/2025
7.04,7.90,6.93,5.56,8.25,6.17,s.i.,6.70,-,7.29,-,8.03,-,-,-,-,-,-,-,6.85,USD,Descuentos,30/09/2025
6.56,8.44,5.88,8.05,9.02,7.49,s.i.,7.47,-,11.50,-,6.15,-,-,-,-,6.10,-,-,6.07,USD,Préstamos hasta 30 días,30/09/2025
6.80,5.60,7.58,37.63,7.75,5.34,s.i.,6.31,-,9.56,-,6.41,-,-,-,-,5.64,-,-,8.33,USD,Préstamos de 31 a 90 días,30/09/2025
6.93,7.80,6.48,6.83,7.79,5.46,s.i.,6.68,-,5.15,-,7.84,-,-,-,-,-,-,-,6.57,USD,Préstamos de 91 a 180 días,30/09/2025
5.58,-,6.26,6.10,6.97,7.90,s.i.,6.28,-,5.85,-,8.50,-,-,-,-,-,-,-,6.18,USD,Préstamos de 181 a 360 días,30/09/2025
6.17,-,6.58,6.08,14.00,6.53,s.i.,6.61,-,-,-,8.12,-,-,5.43,-,-,-,-,6.73,USD,Préstamos a más de 360 días,30/09/2025
8.38,10.23,8.81,4.84,8.83,8.28,s.i.,8.94,-,6.79,-,7.48,-,-,-,-,-,-,-,8.57,USD,Medianas Empresas,30/09/2025
8.50,9.15,9.71,-,8.62,8.50,s.i.,8.66,-,-,-,10.19,-,-,-,-,-,-,-,9.20,USD,Descuentos,30/09/2025
8.02,-,7.53,-,7.60,8.63,s.i.,11.24,-,-,-,6.29,-,-,-,-,-,-,-,7.49,USD,Préstamos hasta 30 días,30/09/2025
9.99,9.07,9.37,4.43,10.52,9.61,s.i.,8.50,-,-,-,6.91,-,-,-,-,-,-,-,8.62,USD,Préstamos de 31 a 90 días,30/09/2025
9.80,14.33,8.69,8.57,10.20,8.43,s.i.,9.46,-,5.85,-,10.06,-,-,-,-,-,-,-,9.00,USD,Préstamos de 91 a 180 días,30/09/2025
8.47,-,7.60,-,12.01,7.86,s.i.,11.36,-,7.80,-,8.44,-,-,-,-,-,-,-,7.88,USD,Préstamos de 181 a 360 días,30/09/2025
6.98,-,7.85,6.95,8.64,7.13,s.i.,9.57,-,-,-,-,-,-,-,-,-,-,-,7.54,USD,Préstamos a más de 360 días,30/09/2025
10.07,-,11.06,-,10.55,5.62,s.i.,9.00,15.12,8.76,-,-,-,-,-,-,-,-,-,8.39,USD,Pequeñas Empresas,30/09/2025
9.12,-,13.47,-,17.19,9.88,s.i.,11.08,-,-,-,-,-,-,-,-,-,-,-,12.72,USD,Descuentos,30/09/2025
10.92,-,9.10,-,-,10.13,s.i.,-,-,-,-,-,-,-,-,-,-,-,-,10.02,USD,Préstamos hasta 30 días,30/09/2025
14.89,-,9.48,-,13.34,7.96,s.i.,11.68,-,-,-,-,-,-,-,-,-,-,-,9.76,USD,Préstamos de 31 a 90 días,30/09/2025
9.80,-,8.42,-,11.84,6.34,s.i.,10.48,-,8.76,-,-,-,-,-,-,-,-,-,7.45,USD,Préstamos de 91 a 180 días,30/09/2025
13.08,-,9.01,-,-,5.28,s.i.,11.37,15.12,-,-,-,-,-,-,-,-,-,-,7.52,USD,Préstamos de 181 a 360 días,30/09/2025
9.73,-,8.22,-,7.55,4.66,s.i.,7.41,-,-,-,-,-,-,-,-,-,-,-,5.83,USD,Préstamos a más de 360 días,30/09/2025
24.55,-,23.52,19.40,25.00,-,s.i.,7.72,-,-,-,-,-,-,-,-,-,-,-,16.59,USD,Microempresas,30/09/2025
33.44,-,23.32,19.40,-,-,s.i.,-,-,-,-,-,-,-,-,-,-,-,-,25.03,USD,Tarjetas de Crédito,30/09/2025
8.93,-,24.45,-,25.00,-,s.i.,15.57,-,-,-,-,-,-,-,-,-,-,-,20.24,USD,Descuentos,30/09/2025
-,-,-,-,-,-,s.i.,-,-,-,-,-,-,-,-,-,-,-,-,-,USD,Préstamos Revolventes,30/09/2025
-,-,-,-,-,-,s.i.,-,-,-,-,-,-,-,-,-,-,-,-,-,USD,Préstamos a cuota fija hasta 30 días,30/09/2025
-,-,-,-,-,-,s.i.,-,-,-,-,-,-,-,-,-,-,-,-,-,USD,Préstamos a cuota fija de 31 a 90 días,30/09/2025
20.11,-,-,-,-,-,s.i.,-,-,-,-,-,-,-,-,-,-,-,-,20.11,USD,Préstamos a cuota fija de 91 a 180 días,30/09/2025
